Age,Total_Children,Total_Spending,Tenure_Days,Total_Store_Visits,Education,Marital_Status,Favorite_Category,Cluster
55,1,43.0,196,10,PhD,Married,Wines,1
42,1,45.0,198,6,Graduation,Married,FishProducts,2
65,1,606.0,744,22,Graduation,Widow,Wines,0
53,2,63.0,397,7,Graduation,Divorced,Wines,1
74,0,881.5,693,25,2n Cycle,Married,MeatProducts,0
42,0,410.0,534,16,PhD,Married,Wines,2
65,1,72.0,501,7,2n Cycle,Single,Wines,1
66,1,55.0,251,7,PhD,Single,Wines,1
46,1,962.5,595,27,Graduation,Together,Wines,0
80,0,1120.0,568,16,PhD,Married,Wines,0
66,0,963.0,123,19,Graduation,Married,MeatProducts,0
46,1,29.0,420,5,Basic,Together,FishProducts,2
61,2,187.0,438,13,Graduation,Married,Wines,1
56,2,868.0,672,26,Graduation,Married,Wines,0
47,1,145.0,717,9,Graduation,Single,Wines,2
65,0,737.0,877,14,Master,Married,Wines,0
46,1,935.0,663,24,Graduation,Together,Wines,0
34,0,1713.0,786,17,PhD,Single,Wines,0
62,1,608.0,164,20,Master,Together,Wines,1
34,0,730.0,673,25,Graduation,Single,Wines,0
45,1,551.0,724,21,PhD,Married,Wines,0
63,2,114.0,423,8,Graduation,Single,Wines,1
55,0,1418.5,316,15,Graduation,Married,MeatProducts,0
47,1,543.5,655,20,2n Cycle,Married,FishProducts,0
58,2,81.0,394,7,2n Cycle,Together,MeatProducts,1
56,1,33.0,387,7,Graduation,Together,FishProducts,2
72,1,660.0,534,22,Master,Together,Wines,0
58,1,80.0,285,9,Master,Single,Wines,1
40,2,30.0,606,6,Master,Married,Wines,2
49,1,43.0,593,5,Graduation,Divorced,Wines,2
42,0,1093.5,368,27,Graduation,Single,Wines,0
60,0,513.5,656,16,2n Cycle,Together,Wines,0
41,0,1334.0,594,16,Graduation,Single,MeatProducts,0
72,2,90.0,122,8,Master,Married,Wines,1
64,1,404.0,394,17,PhD,Married,Wines,1
69,2,661.0,62,23,PhD,Together,Wines,1
73,1,455.0,432,19,Graduation,Married,Wines,1
67,2,632.0,429,23,Master,Alone,Wines,1
56,0,696.5,65,19,Graduation,Married,Wines,0
62,1,725.0,393,19,Graduation,Married,Wines,0
61,2,279.0,479,16,PhD,Married,Wines,1
58,0,1448.0,629,23,PhD,Together,Wines,0
49,1,29.0,850,6,Basic,Divorced,FishProducts,2
66,3,106.0,517,9,PhD,Married,Wines,1
52,2,49.0,201,6,PhD,Alone,Wines,1
60,2,38.0,496,7,PhD,Divorced,Wines,1
33,0,1712.0,778,22,Master,Single,Wines,0
49,1,1053.0,387,17,Master,Together,Wines,0
63,0,1185.0,596,23,Graduation,Married,MeatProducts,0
51,1,871.0,465,25,PhD,Single,Wines,0
37,1,312.0,627,12,Graduation,Together,FishProducts,2
49,2,877.0,779,15,Graduation,Married,Wines,1
50,1,68.0,769,6,Graduation,Married,FishProducts,2
44,1,22.0,465,4,Graduation,Together,MeatProducts,2
52,3,211.0,836,15,2n Cycle,Married,MeatProducts,1
59,0,127.0,168,8,Master,Married,Wines,2
72,2,459.0,226,16,Master,Married,Wines,1
56,1,460.0,156,19,Graduation,Married,Wines,1
53,1,429.0,722,17,2n Cycle,Together,Wines,0
37,1,89.0,1,11,Graduation,Alone,MeatProducts,2
73,1,1021.0,817,26,PhD,Together,Wines,0
76,0,1381.0,655,21,Graduation,Together,Wines,0
67,1,306.0,486,15,Graduation,Single,Wines,1
47,3,18.0,362,4,Graduation,Single,Wines,1
48,1,162.0,415,9,Graduation,Together,MeatProducts,2
70,0,1192.5,473,18,Graduation,Single,Wines,0
67,3,13.0,698,4,Master,Single,Wines,1
80,0,1582.0,939,27,PhD,Married,Wines,0
41,1,121.0,219,11,Graduation,Married,Wines,2
50,0,1293.0,700,20,PhD,Divorced,Wines,0
52,1,582.0,337,16,PhD,Married,MeatProducts,2
59,3,88.0,388,9,Graduation,Together,MeatProducts,1
72,0,407.5,383,18,Graduation,Divorced,Wines,0
66,0,259.0,465,12,Graduation,Divorced,Wines,2
37,0,983.5,663,15,Graduation,Single,MeatProducts,0
68,2,89.0,284,9,Graduation,Together,MeatProducts,1
60,2,36.0,229,6,Graduation,Together,MeatProducts,1
43,1,57.0,511,7,Graduation,Married,Wines,2
55,2,148.0,229,8,Graduation,Married,Wines,1
66,2,93.0,310,8,PhD,Together,Wines,1
58,1,119.0,246,7,Graduation,Single,Wines,1
50,1,1835.0,727,28,PhD,Married,Wines,0
77,0,1310.0,720,25,PhD,Married,Wines,0
55,2,45.0,197,7,PhD,Married,Wines,1
66,3,10.0,165,4,Graduation,Together,MeatProducts,1
74,0,881.5,693,25,2n Cycle,Married,MeatProducts,0
49,1,191.0,31,10,PhD,Married,Wines,2
37,1,57.0,62,9,2n Cycle,Married,Wines,2
79,0,1018.5,434,24,Master,Married,Wines,0
41,1,66.0,318,6,Master,Married,Wines,2
64,0,43.0,174,6,Basic,Married,SweetProducts,2
42,1,50.0,938,5,Graduation,Married,MeatProducts,2
55,1,39.0,125,7,PhD,Single,Wines,1
59,1,608.0,666,18,Graduation,Married,Wines,0
49,0,1561.5,627,24,Graduation,Married,Wines,0
61,2,68.0,651,7,PhD,Married,Wines,1
47,1,80.0,818,5,Basic,Together,FishProducts,2
36,0,1223.5,568,28,PhD,Together,Wines,0
93,1,65.0,436,6,2n Cycle,Divorced,Wines,1
37,1,91.0,555,8,Graduation,Married,Wines,2
52,2,315.0,656,16,Graduation,Married,Wines,1
48,2,31.0,342,6,Graduation,Married,Wines,1
45,0,834.0,207,23,Master,Married,Wines,0
71,0,1251.0,443,17,Graduation,Married,MeatProducts,0
71,0,1116.5,688,17,Graduation,Married,MeatProducts,0
52,2,263.0,250,15,PhD,Single,Wines,1
73,1,535.0,160,19,Graduation,Divorced,Wines,1
57,0,1134.5,450,18,Graduation,Single,MeatProducts,0
47,1,1144.0,418,29,Graduation,Divorced,Wines,0
48,0,1145.0,1029,26,PhD,Together,Wines,0
60,2,38.0,507,6,PhD,Single,Wines,1
41,0,35.0,786,4,Master,Single,FishProducts,2
37,1,53.0,481,5,Graduation,Together,MeatProducts,2
62,2,293.0,572,17,Master,Divorced,MeatProducts,1
59,1,65.0,122,6,Graduation,Married,Wines,1
71,1,1738.5,788,29,Graduation,Divorced,Wines,0
69,1,241.0,615,15,Graduation,Together,Wines,1
71,0,1080.0,263,20,Graduation,Together,Wines,0
57,2,264.0,940,17,PhD,Married,Wines,1
51,2,541.0,684,22,Master,Together,Wines,1
40,0,1058.5,610,17,Graduation,Married,MeatProducts,0
48,1,482.0,336,20,Graduation,Married,Wines,0
47,3,17.0,1,4,2n Cycle,Single,Wines,1
77,0,1615.0,386,25,Master,Married,Wines,0
71,1,285.0,462,12,Master,Widow,Wines,1
45,1,1135.0,752,28,Graduation,Together,Wines,0
37,1,114.0,32,7,2n Cycle,Together,Wines,2
56,0,1047.0,387,16,Graduation,Married,MeatProducts,0
55,2,714.0,236,22,PhD,Together,Wines,1
45,1,185.0,584,13,PhD,Married,Wines,2
63,1,1245.0,849,32,Graduation,Divorced,Wines,0
47,1,189.0,620,12,Graduation,Together,Wines,2
49,1,520.5,772,16,Graduation,Together,Wines,2
73,1,1103.0,815,18,Graduation,Divorced,Wines,0
53,0,1564.0,850,17,PhD,Married,Wines,0
39,1,17.0,293,4,PhD,Together,MeatProducts,2
59,2,433.0,626,20,Graduation,Single,Wines,1
63,1,1471.5,584,14,2n Cycle,Divorced,Wines,0
54,1,22.0,570,4,Graduation,Together,MeatProducts,2
74,0,19.0,234,5,Graduation,Single,FishProducts,2
60,1,1117.0,623,29,PhD,Married,Wines,0
50,1,69.0,450,8,2n Cycle,Married,MeatProducts,2
43,1,23.0,603,5,Master,Together,Wines,2
67,1,605.0,605,19,PhD,Single,Wines,0
52,1,57.0,345,11,Graduation,Single,FishProducts,2
93,1,22.0,203,4,2n Cycle,Single,Wines,1
57,0,1739.5,404,22,Graduation,Widow,Wines,0
67,1,933.0,713,16,Graduation,Together,Wines,0
54,1,26.0,493,5,Graduation,Single,Wines,2
35,0,1403.0,373,22,Graduation,Married,Wines,0
67,1,1076.5,841,30,Graduation,Married,Wines,0
61,2,17.0,214,6,PhD,Married,Wines,1
53,1,1690.0,565,16,Graduation,Married,Wines,0
72,1,1377.5,461,21,Graduation,Married,Wines,0
37,0,1786.0,827,20,PhD,Married,Wines,0
56,1,1431.5,768,25,Master,Together,Wines,0
50,1,64.0,446,7,Master,Single,MeatProducts,2
40,1,26.0,405,6,Graduation,Single,MeatProducts,2
51,0,932.5,581,29,Graduation,Divorced,MeatProducts,0
67,0,210.0,805,11,2n Cycle,Together,MeatProducts,2
58,2,1148.0,829,26,Graduation,Together,Wines,0
51,1,33.0,784,6,PhD,Single,Wines,2
64,1,1101.0,781,19,PhD,Together,Wines,0
61,1,322.0,775,16,Graduation,Single,Wines,1
61,2,44.0,609,10,Graduation,Single,Wines,1
68,3,17.0,481,4,PhD,Single,Wines,1
46,1,31.0,787,6,Graduation,Divorced,MeatProducts,2
57,2,845.0,563,25,PhD,Divorced,Wines,0
55,1,275.0,172,15,Master,Married,Wines,1
47,1,25.0,743,4,PhD,Married,Wines,2
73,2,275.0,644,17,Master,Together,Wines,1
59,2,90.0,632,11,Master,Married,Wines,1
62,0,1290.0,163,19,Graduation,Married,Wines,0
55,2,184.0,782,11,PhD,Married,Wines,1
55,0,871.5,535,13,Graduation,Married,MeatProducts,0
55,1,67.0,605,8,Graduation,Together,MeatProducts,2
72,0,1615.5,805,14,Graduation,Single,Wines,0
42,1,60.0,261,10,Master,Single,MeatProducts,2
50,1,231.0,248,12,PhD,Together,Wines,2
65,2,48.0,185,10,Graduation,Married,MeatProducts,1
62,2,99.0,552,9,Graduation,Divorced,MeatProducts,1
62,1,770.0,446,23,PhD,Together,Wines,0
69,0,829.5,688,23,Graduation,Single,MeatProducts,0
44,0,702.5,220,12,Master,Together,MeatProducts,2
39,0,876.0,670,17,PhD,Single,MeatProducts,0
57,1,903.5,594,22,Master,Divorced,Wines,0
44,1,102.0,399,10,Basic,Married,FishProducts,2
49,1,520.5,772,16,Graduation,Together,Wines,2
79,0,287.5,827,13,Graduation,Together,FishProducts,0
51,1,461.0,337,15,PhD,Together,Wines,1
50,2,37.0,233,7,Master,Married,Wines,1
51,1,70.0,364,7,Graduation,Married,MeatProducts,2
73,0,883.5,676,23,Graduation,Together,Wines,0
69,2,817.5,492,26,Master,Together,Wines,1
59,0,1261.5,1,21,Graduation,Widow,MeatProducts,0
76,0,390.0,541,16,Master,Divorced,Wines,0
41,0,52.0,608,5,2n Cycle,Together,Wines,2
56,1,137.0,344,10,Graduation,Together,MeatProducts,2
45,0,1682.0,766,19,Graduation,Married,Wines,0
54,2,68.0,325,9,Graduation,Together,MeatProducts,1
60,2,25.0,368,4,Graduation,Together,Wines,1
73,1,1358.0,835,23,Master,Together,Wines,0
37,1,32.0,521,5,2n Cycle,Divorced,MeatProducts,2
39,1,100.0,692,7,Master,Together,Wines,2
43,0,825.0,370,12,Graduation,Single,Wines,2
60,1,916.0,264,28,PhD,Divorced,Wines,0
67,2,62.0,234,11,Graduation,Divorced,Wines,1
69,1,728.0,361,21,2n Cycle,Together,Wines,0
47,1,90.0,337,7,PhD,Married,MeatProducts,2
37,1,273.0,237,13,Graduation,Single,MeatProducts,2
41,1,66.0,344,10,Graduation,Together,MeatProducts,2
64,0,982.5,618,23,Master,Married,Wines,0
59,0,107.0,809,7,Graduation,Widow,Fruits,2
78,0,1157.0,217,18,Graduation,Single,Wines,0
61,1,546.0,423,18,Master,Married,Wines,1
33,0,241.0,588,11,Master,Together,Wines,2
49,1,53.0,322,11,Graduation,Divorced,MeatProducts,2
58,3,37.0,404,7,Graduation,Married,Wines,1
36,0,1554.0,640,24,Graduation,Married,Wines,0
49,0,1503.0,552,23,Master,Single,Wines,0
59,2,235.0,354,16,Graduation,Married,Wines,1
69,2,32.0,33,7,Master,Together,Wines,1
53,2,102.0,495,8,Graduation,Married,Wines,1
40,1,401.0,844,15,Graduation,Single,MeatProducts,2
74,2,28.0,508,6,Graduation,Married,Wines,1
55,3,1052.0,470,21,Graduation,Single,Wines,1
54,1,680.0,688,21,Graduation,Married,Wines,0
51,1,30.0,698,4,Graduation,Married,MeatProducts,2
60,2,20.0,95,4,PhD,Divorced,Wines,1
64,1,1307.0,522,23,PhD,Divorced,Wines,0
72,1,630.0,400,24,Graduation,Single,Wines,0
68,0,1283.0,578,18,Graduation,Married,Wines,0
49,1,65.0,667,9,PhD,Divorced,MeatProducts,2
41,1,37.0,513,5,Graduation,Married,Wines,2
75,3,38.0,457,5,PhD,Married,Wines,1
39,1,160.0,661,12,PhD,Single,Wines,2
42,1,23.0,599,4,Graduation,Single,Wines,2
36,0,71.0,392,6,PhD,Single,Wines,2
69,1,1161.0,642,19,PhD,Married,Wines,0
54,1,59.0,431,5,Master,Married,Wines,2
42,1,33.0,524,7,Graduation,Together,Wines,2
65,2,903.0,727,22,Graduation,Divorced,Wines,0
57,0,1354.0,907,22,Graduation,Divorced,Wines,0
53,1,62.0,725,5,Graduation,Married,MeatProducts,2
60,0,1660.0,643,22,Graduation,Together,Wines,0
93,0,1686.5,436,15,PhD,Together,Wines,0
37,0,1225.0,789,21,Graduation,Single,MeatProducts,0
39,0,139.0,512,8,Graduation,Divorced,MeatProducts,2
56,1,1182.0,743,20,PhD,Married,Wines,0
75,1,507.0,541,18,PhD,Together,Wines,1
52,1,18.0,478,4,Basic,Together,MeatProducts,2
73,0,770.0,421,16,Graduation,Divorced,Wines,0
60,2,42.0,531,6,Graduation,Married,Wines,1
55,0,967.5,173,15,Graduation,Divorced,MeatProducts,0
54,2,44.0,711,8,Graduation,Widow,Wines,1
49,1,16.0,280,4,Master,Married,Wines,2
68,1,835.0,354,26,Graduation,Married,Wines,0
39,1,1417.0,431,22,Graduation,Married,Wines,0
59,0,1029.0,404,18,PhD,Single,MeatProducts,0
51,0,1178.0,770,18,Graduation,Married,Wines,0
49,1,1277.0,714,24,PhD,Single,Wines,0
47,2,49.0,372,7,Graduation,Single,Wines,1
70,1,99.0,396,7,Graduation,Married,Wines,1
56,0,1394.0,724,15,PhD,Married,Wines,0
82,0,900.0,473,14,Master,Married,Wines,0
77,2,425.0,483,16,PhD,Together,Wines,1
68,0,1635.5,799,22,Graduation,Married,Wines,0
56,1,636.0,259,21,PhD,Widow,Wines,0
47,2,57.0,285,10,Graduation,Married,Wines,1
47,1,25.0,743,4,PhD,Married,Wines,2
58,2,494.0,708,21,Graduation,Married,Wines,1
56,1,677.5,837,19,Graduation,Single,Wines,0
65,0,1080.5,568,26,Graduation,Married,MeatProducts,0
49,1,51.0,630,7,Graduation,Divorced,MeatProducts,2
63,0,1743.0,749,16,Graduation,Together,Wines,0
50,1,990.0,1059,16,PhD,Single,Wines,0
41,1,30.0,228,5,2n Cycle,Married,Wines,2
50,2,254.0,769,16,Graduation,Married,Wines,1
55,1,29.0,464,5,Master,Single,Wines,2
59,1,1371.0,755,23,Graduation,Single,Wines,0
53,2,73.0,532,9,PhD,Single,Wines,1
50,2,120.0,840,11,Master,Single,Wines,1
55,0,81.0,628,5,Graduation,Single,MeatProducts,2
36,1,37.0,706,5,Graduation,Single,MeatProducts,2
64,1,1346.5,664,20,PhD,Together,Wines,0
56,1,51.0,540,5,Graduation,Single,MeatProducts,2
56,2,17.0,492,4,PhD,Married,Wines,1
40,1,22.0,387,4,Graduation,Married,Fruits,2
71,0,324.0,724,14,Graduation,Widow,MeatProducts,0
52,3,211.0,836,15,2n Cycle,Married,MeatProducts,1
44,1,19.0,251,4,Master,Single,Wines,2
54,1,41.0,570,8,Graduation,Single,Fruits,2
57,1,492.0,416,17,Master,Together,Wines,1
65,1,972.5,940,26,Graduation,Together,Wines,0
76,1,114.0,828,7,Graduation,Together,Wines,1
57,2,1173.0,488,19,PhD,Divorced,Wines,0
46,0,1402.0,280,19,Graduation,Together,Wines,0
46,1,222.0,450,12,Master,Together,Wines,2
32,0,1046.0,245,16,Graduation,Single,Wines,0
79,0,209.0,597,10,PhD,Married,Wines,1
57,1,787.0,284,23,Master,Married,Wines,0
34,0,1598.0,544,24,PhD,Together,Wines,0
54,2,186.0,812,12,Graduation,Married,Wines,1
41,1,47.0,827,6,Graduation,Together,MeatProducts,2
38,1,27.0,712,5,Graduation,Single,FishProducts,2
45,1,96.0,816,11,2n Cycle,Together,SweetProducts,2
69,2,64.0,623,10,2n Cycle,Divorced,MeatProducts,1
60,0,999.5,800,23,Graduation,Together,Wines,0
51,2,163.0,478,13,Graduation,Single,Wines,1
65,0,343.0,398,11,Graduation,Together,MeatProducts,2
70,3,446.0,410,21,PhD,Single,Wines,1
60,2,41.0,91,5,Graduation,Married,Wines,1
53,1,70.0,828,9,PhD,Single,MeatProducts,2
54,2,272.0,190,14,PhD,Divorced,Wines,1
51,1,46.0,548,6,PhD,Together,MeatProducts,2
62,2,490.0,780,19,Graduation,Married,Wines,1
43,1,79.0,749,8,2n Cycle,Single,Fruits,2
49,1,846.0,816,17,Graduation,Married,Wines,0
70,1,1485.0,616,35,PhD,Married,Wines,0
38,1,369.0,836,16,Graduation,Single,FishProducts,2
63,1,1073.0,682,19,Graduation,Together,Wines,0
82,0,1171.5,250,19,PhD,Married,MeatProducts,0
50,1,78.0,381,9,2n Cycle,Together,FishProducts,2
31,0,1378.0,295,21,Graduation,Together,Wines,0
44,0,1326.5,652,26,Graduation,Single,Wines,0
54,2,751.0,582,26,Master,Married,Wines,0
52,1,48.0,184,7,PhD,Married,Wines,2
42,1,45.0,198,6,Graduation,Married,FishProducts,2
43,1,10.0,214,4,Master,Together,Wines,2
51,0,1425.0,609,16,Master,Married,Wines,0
84,0,1899.0,602,22,PhD,Married,Wines,0
72,3,20.0,603,4,Graduation,Married,Wines,1
39,0,1422.5,226,27,Graduation,Married,MeatProducts,0
36,1,1188.0,216,19,Graduation,Married,Wines,0
36,1,43.0,245,7,2n Cycle,Together,MeatProducts,2
57,1,871.5,590,24,Graduation,Married,Wines,0
64,0,1665.0,457,16,PhD,Single,Wines,0
36,1,619.5,768,21,Graduation,Married,Wines,0
58,2,1039.5,682,30,2n Cycle,Together,Wines,0
61,1,1068.0,376,25,Graduation,Married,Wines,0
55,1,57.0,307,7,Graduation,Single,Wines,2
69,1,46.0,533,5,Master,Together,Wines,1
59,1,733.0,350,23,Graduation,Divorced,Wines,0
76,1,467.0,515,17,Master,Widow,Wines,1
54,1,122.0,471,10,PhD,Married,Wines,2
39,1,36.0,522,7,2n Cycle,Married,Fruits,2
36,1,34.0,608,5,Graduation,Married,MeatProducts,2
77,1,156.0,351,10,PhD,Married,Wines,1
79,0,14.0,546,4,Graduation,Married,FishProducts,2
36,1,37.0,706,5,Graduation,Single,MeatProducts,2
51,0,34.0,264,5,2n Cycle,Married,FishProducts,2
66,0,20.0,511,4,Graduation,Divorced,SweetProducts,2
53,1,192.0,452,11,Master,Divorced,Wines,2
61,0,1195.0,342,17,Graduation,Single,MeatProducts,0
49,1,48.0,456,7,Graduation,Married,Wines,2
72,1,428.0,349,16,PhD,Married,Wines,1
70,1,868.0,669,27,Graduation,Single,Wines,0
56,1,1001.0,658,27,Graduation,Married,Wines,0
54,1,59.0,415,7,Master,Single,MeatProducts,2
45,2,431.0,693,16,2n Cycle,Married,Wines,1
49,1,971.0,880,27,Graduation,Married,Wines,0
53,3,348.0,838,18,Graduation,Married,Wines,1
59,0,1451.5,812,24,2n Cycle,Single,Wines,0
41,1,265.0,701,14,Master,Married,Wines,2
73,1,270.0,195,13,Graduation,Married,Wines,1
43,0,1159.5,802,19,2n Cycle,Together,MeatProducts,0
61,1,893.0,339,16,Graduation,Married,Wines,0
76,0,737.5,440,22,Graduation,Widow,MeatProducts,0
67,1,135.0,312,9,PhD,Widow,Wines,1
62,0,1290.0,163,19,Graduation,Married,Wines,0
50,1,120.0,285,9,Graduation,Married,MeatProducts,2
56,0,1288.0,278,20,PhD,Single,Wines,0
70,0,1729.0,592,17,PhD,Together,Wines,0
55,1,15.0,766,4,Graduation,Widow,MeatProducts,2
74,2,542.0,186,20,Graduation,Married,Wines,1
54,1,890.0,843,25,PhD,Together,Wines,0
50,1,1277.0,619,33,Graduation,Married,Wines,0
45,1,17.0,422,4,Graduation,Married,MeatProducts,2
44,1,906.0,972,29,PhD,Together,Wines,0
47,2,44.0,673,6,Graduation,Married,Wines,2
37,1,25.0,202,5,Graduation,Single,MeatProducts,2
69,1,973.0,656,26,Graduation,Married,Wines,0
53,2,31.0,92,6,PhD,Single,Wines,1
48,1,518.0,197,17,Master,Married,Wines,2
53,1,530.0,774,19,PhD,Married,Wines,0
48,1,506.0,766,20,Graduation,Married,Wines,0
52,1,70.0,341,6,Master,Married,Wines,2
53,1,54.0,393,6,Master,Divorced,Wines,2
51,1,296.0,839,12,Graduation,Single,Wines,2
50,1,266.0,402,15,Graduation,Married,Wines,2
65,0,747.0,787,19,Master,Together,Wines,0
61,0,846.5,813,29,PhD,Divorced,Wines,0
49,1,1053.0,387,17,Master,Together,Wines,0
51,1,735.0,528,21,Graduation,Married,Wines,0
56,1,20.0,314,5,Graduation,Married,Wines,2
73,0,205.0,769,10,2n Cycle,Widow,MeatProducts,2
67,1,2046.5,803,21,PhD,Together,Wines,0
49,1,309.0,999,14,Graduation,Divorced,Wines,2
70,0,1602.5,652,22,Graduation,Together,Wines,0
61,1,896.5,370,15,Master,Single,Wines,0
81,0,682.0,374,20,PhD,Divorced,Wines,0
63,1,663.0,602,22,Master,Divorced,Wines,0
47,1,43.0,216,6,Graduation,Divorced,Wines,2
54,1,1645.0,594,18,PhD,Together,Wines,0
76,1,976.0,198,27,PhD,Together,Wines,0
81,0,746.0,642,21,Graduation,Married,Wines,0
75,2,64.0,911,6,Graduation,Together,MeatProducts,1
64,1,32.0,386,5,Master,Together,Wines,1
35,0,263.0,707,9,Basic,Married,SweetProducts,2
40,1,1418.5,834,21,PhD,Married,Wines,0
69,1,46.0,533,5,Master,Together,Wines,1
72,0,1210.0,878,28,Graduation,Widow,Wines,0
49,1,864.0,662,24,Graduation,Married,MeatProducts,0
36,0,1131.5,505,22,Graduation,Single,Wines,0
33,0,137.0,533,8,Graduation,Married,MeatProducts,2
66,1,673.0,720,25,Graduation,Divorced,Wines,0
44,1,216.0,560,12,PhD,Together,Wines,2
46,1,941.0,618,23,Graduation,Single,Wines,0
61,2,347.0,412,16,Graduation,Married,Wines,1
66,0,1865.0,264,19,Master,Together,Wines,0
79,1,397.0,396,17,PhD,Together,Wines,1
50,0,1969.0,601,22,Master,Single,Wines,0
